Date,Open,High,Low,Close,Adj Close,Volume
1998-04-01,398.444,432.471985,398.444,423.69101,160.467728,67700741
1998-05-01,432.471985,432.471985,402.561005,413.812012,156.726181,54889462
1998-06-01,408.324005,445.643005,394.053986,443.447998,167.950394,87177395
1998-07-01,448.388,493.938995,448.388,467.596008,180.56488,79057187
1998-08-01,466.497986,478.572998,455.522003,471.987,182.260483,55245380
1998-09-01,461.285004,507.660004,442.350006,480.768005,185.651306,88277297
1998-10-01,471.987,471.987,412.440002,448.937012,173.359619,109465573
1998-11-01,461.01001,528.789978,447.838989,528.789978,204.195267,113885905
1998-12-01,519.734009,554.859009,506.014008,526.593994,205.424622,102663338
1999-01-01,526.593994,606.723022,526.593994,542.510986,211.633728,155528327
1999-02-01,548.822021,548.822021,492.292999,495.036987,193.11412,112263872
1999-03-01,489.549011,495.860992,456.619995,495.860992,193.435638,128821807
1999-04-01,513.697021,513.697021,458.815002,472.260986,184.229187,81243587
1999-05-01,472.260986,494.763,457.169006,465.401001,181.553101,69332744
1999-06-01,468.694,507.110992,468.694,484.609985,189.04657,73513108
1999-07-01,488.177002,495.036987,444.820007,455.522003,180.736176,74454150
1999-08-01,459.638,465.401001,426.434998,455.79599,180.84491,67561001
1999-09-01,468.420013,481.591003,447.563995,461.285004,183.022781,66783364
1999-10-01,460.462006,515.070007,460.462006,498.880005,197.939224,112252801
1999-11-01,495.036987,552.937988,495.036987,528.515991,209.697769,99965127
1999-12-01,534.278992,564.737,492.292999,516.98999,205.124695,65637285
2000-01-01,516.98999,516.98999,463.205994,466.497986,186.941528,110533571
2000-02-01,470.889008,547.724976,465.950012,538.942993,215.972687,176150780
2000-03-01,549.919983,655.29303,549.919983,628.950012,252.041626,164697623
2000-04-01,594.922974,598.765015,526.320984,579.007019,232.027695,77234434
2000-05-01,579.007019,603.155029,541.138,565.286011,226.529221,74675345
2000-06-01,585.044006,611.935974,561.445007,571.872986,232.59462,109193027
2000-07-01,574.067993,616.875,568.030029,601.508972,244.64827,97416946
2000-08-01,611.387024,619.072021,596.020996,619.072021,251.791611,56315668
2000-09-01,628.950012,655.29303,575.166016,637.182007,259.15741,131912731
2000-10-01,653.098022,674.502014,623.461975,655.84198,266.746826,143507304
2000-11-01,656.390991,709.078003,656.390991,680.539001,276.791779,119779413
2000-12-01,676.697021,676.697021,650.354004,667.916992,274.055756,90606533
2001-01-01,667.916992,686.026978,661.879028,684.929016,281.036041,125596728
2001-02-01,683.83197,700.296997,637.182007,643.219971,263.922119,124170346
2001-03-01,647.609985,647.609985,568.578979,597.119019,245.006317,133280493
2001-04-01,611.387024,624.559998,570.775024,587.239014,240.952362,145810651
2001-05-01,586.142029,637.731018,582.848999,617.973999,253.5634,127084853
2001-06-01,624.010986,634.987,568.578979,575.166016,239.436401,115785614
2001-07-01,588.336975,588.336975,509.307007,521.380981,217.046127,180878170
2001-08-01,521.380981,542.236023,506.562988,514.794983,214.304413,201252996
2001-09-01,521.929993,529.064026,465.950012,471.987,196.483841,171068791
2001-10-01,457.990997,548.822021,457.990997,535.650024,222.986191,211793599
2001-11-01,530.710999,551.017029,369.122986,486.256012,202.42392,171560106
2001-12-01,473.084991,684.596985,442.580994,469.790985,198.082108,162852951
2002-01-01,469.790985,1156.099976,346.759003,492.84201,207.801285,448020197
2002-02-01,500.526001,519.265991,220.169998,507.38501,213.933289,298694993
2002-03-01,512.599976,521.893005,466.134003,508.484009,214.396652,112143847
2002-04-01,508.484009,575.137024,427.536011,540.039978,227.701813,248505015
2002-05-01,540.039978,839.151978,536.289001,548.822021,231.404648,241154013
2002-06-01,548.822021,557.609009,214.169998,511.502014,215.669067,137030440
2002-07-01,510.403992,575.409973,184.425003,484.88501,208.078491,301507662
2002-08-01,469.790985,1409.910034,465.860992,495.585999,212.670624,138877666
2002-09-01,497.233002,520.909973,371.373993,495.585999,212.670624,204568730
2002-10-01,495.585999,526.934998,182.401001,499.428009,214.319321,276651506
2002-11-01,490.647003,504.203003,468.924988,473.359009,203.132385,336569362
2002-12-01,477.475006,502.834015,264.973999,501.075012,215.026108,320901055
2003-01-01,501.075012,502.286011,418.151001,435.765015,189.790604,324794897
2003-02-01,436.040009,706.596008,423.68399,447.838989,195.049225,287909109
2003-03-01,445.093994,669.348999,395.252014,425.338013,185.249237,173123732
2003-04-01,432.471985,462.299988,417.658997,451.131989,196.483383,165710381
2003-05-01,451.681,463.721008,431.07901,433.020996,188.59549,272839097
2003-06-01,443.447998,457.917999,431.240997,451.131989,201.035812,227473153
2003-07-01,449.701996,498.240997,413.81601,423.69101,188.807373,357454043
2003-08-01,425.326996,493.10199,321.255005,425.062012,189.418335,308484161
2003-09-01,427.518005,499.841003,411.290985,482.18399,214.873398,303394561
2003-10-01,421.493011,497.095001,370.266998,412.989014,184.038361,366823558
2003-11-01,417.38501,448.05899,411.632996,431.373993,192.231155,296297026
2003-12-01,436.007996,488.420013,413.550995,439.332001,199.312958,310920295
2004-01-01,439.332001,483.936005,421.493011,430.277008,195.204987,394330492
2004-02-01,432.721985,527.744019,272.230988,473.084991,214.625793,239498831
2004-03-01,474.351013,540.502014,446.984985,471.987,214.12764,240233529
2004-04-01,472.160004,590.046021,462.847992,469.516998,213.007095,189293026
2004-05-01,469.516998,544.283997,444.415985,474.455994,215.247787,381825927
2004-06-01,475.993988,532.424988,461.072998,467.046997,211.886505,207995416
2004-07-01,469.968994,1194.089966,461.890015,477.748993,222.264053,402535647
2004-08-01,477.363007,943.771973,465.587006,509.03299,236.81839,230404238
2004-09-01,512.692993,577.557983,496.535004,511.777008,238.094955,217452945
2004-10-01,511.597992,532.411987,499.546997,519.734009,241.796799,180006396
2004-11-01,522.278992,536.794006,503.88501,525.497009,244.47789,240392782
2004-12-01,518.992004,546.099976,231.697998,544.43103,253.286621,156414123
2005-01-01,544.43103,569.38501,295.785004,566.658997,267.962097,173907828
2005-02-01,564.182007,644.776978,546.653992,553.760986,261.862823,151805763
2005-03-01,551.036011,564.189026,526.661011,538.119995,254.466568,210758430
